 Procedimentos hospitalares do SUS - por gestor - Brasil
Valor total por Município gestor e Ano processamento
Financiamento: 05 Incentivo - MAC, 06 Média e Alta Complexidade (MAC)
Período:2017-2020
"Município gestor";"2017";"2018";"2019";"2020";"Total"
"330600 Três Rios";6575166,47;6640038,66;7594634,20;7652765,45;28462604,78
"330610 Valença";5886351,01;6305661,97;7859891,96;9404650,99;29456555,93
"330615 Varre-Sai";123900,25;109780,87;82750,73;91922,77;408354,62
"330620 Vassouras";14460515,27;16948771,19;19251398,27;16826420,35;67487105,08
"330630 Volta Redonda";20719043,94;20040977,66;19697225,25;18545080,83;79002327,68
"330000 Rio de Janeiro - Gestão estadual";88505382,70;115958658,53;134875363,91;193141290,42;532480695,56
"350010 Adamantina";4914168,97;5495712,56;6132812,66;5003591,19;21546285,38
"350050 Águas de Lindóia";650229,09;585217,51;581784,86;531539,96;2348771,42
"350070 Agudos";773307,20;538066,74;585693,97;457259,81;2354327,72
"350100 Altinópolis";416412,65;387491,13;329300,60;291467,69;1424672,07
"350110 Alto Alegre";12237,70;16362,51;23520,05;12401,85;64522,11
"350130 Álvares Machado";185232,12;143924,49;127318,49;151282,40;607757,50
"350160 Americana";5982126,63;7364057,52;7917328,68;9350278,89;30613791,72
"350170 Américo Brasiliense";129921,99;124226,52;187370,64;122408,77;563927,92
"350190 Amparo";5941131,14;7164924,33;7401293,43;8778545,66;29285894,56
"350220 Angatuba";843396,91;850584,28;636782,56;511330,61;2842094,36
"350260 Aparecida d'Oeste";54266,12;48829,39;53152,64;23534,96;179783,11
"350270 Apiaí";1079203,95;1153025,81;1175918,28;1260988,19;4669136,23
"350280 Araçatuba";2170440,33;1546005,95;1545441,07;1549889,50;6811776,85
"350310 Arandu";11475,27;-;-;-;11475,27
"350320 Araraquara";19186879,19;19870916,97;20721716,88;24016157,70;83795670,74
"350330 Araras";10800365,25;10371562,24;9986326,34;10344295,04;41502548,87
"350340 Arealva";24689,99;40347,24;51536,03;44908,85;161482,11
"350390 Arujá";716301,25;669684,05;568614,09;684763,91;2639363,30
"350400 Assis";3979398,52;4318747,49;4787288,29;4638245,12;17723679,42
"350410 Atibaia";1750403,47;1607745,32;1654383,81;1350598,99;6363131,59
"350420 Auriflama";484304,99;534014,56;597800,84;556085,24;2172205,63
"350450 Avaré";7090573,96;6850585,55;7754567,28;7765794,15;29461520,94
"350490 Bananal";39496,29;25740,07;979,43;4170,92;70386,71
"350520 Bariri";876907,88;408351,06;779114,07;857179,30;2921552,31
"350530 Barra Bonita";1099980,21;1095563,14;1054793,98;1312735,32;4563072,65
"350550 Barretos";10156026,59;15289428,10;17415877,06;26589352,61;69450684,36
"350570 Barueri";18893884,37;21810606,38;24497718,27;24460627,65;89662836,67
"350580 Bastos";543974,51;540463,87;514234,60;405025,32;2003698,30
"350590 Batatais";3803384,07;3669399,51;3552269,81;4167276,94;15192330,33
"350600 Bauru";5885,95;4901,05;9215,85;6003,20;26006,05
"350610 Bebedouro";2013504,41;2006346,12;1791216,26;1256755,07;7067821,86
"350630 Bernardino de Campos";186214,82;240394,35;237303,83;266982,59;930895,59
"350635 Bertioga";1358320,88;1319939,74;1335305,37;1790085,52;5803651,51
"350640 Bilac";88,44;23453,95;38057,23;33956,91;95556,53
"350650 Birigui";2691753,97;1512842,37;3547105,47;4548060,13;12299761,94
"350670 Boa Esperança do Sul";26993,54;18155,37;13440,40;813,30;59402,61
"350680 Bocaina";94355,23;75803,17;84300,79;108232,69;362691,88
"350700 Boituva";971135,50;1141443,97;1124104,46;938354,29;4175038,22
"350710 Bom Jesus dos Perdões";56245,43;46387,76;49892,61;46194,78;198720,58
"350740 Borborema";284348,98;243217,15;301542,21;313553,44;1142661,78
"350760 Bragança Paulista";3686947,49;4233455,17;4229245,36;5849964,48;17999612,50
"350790 Brotas";437599,05;417628,77;454157,29;379727,55;1689112,66
"350810 Buritama";343512,32;453997,86;396600,27;412883,35;1606993,80
"350840 Cabreúva";328801,93;380011,75;287642,21;268492,59;1264948,48
"350850 Caçapava";2343291,97;2355148,26;1954816,61;2160212,62;8813469,46
"350860 Cachoeira Paulista";108703,80;235012,26;226305,42;288895,92;858917,40
"350880 Cafelândia";396125,46;386162,97;362909,53;422568,66;1567766,62
"350900 Caieiras";261656,00;214980,15;231363,64;531830,63;1239830,42
"350920 Cajamar";751862,07;776300,23;615574,85;456433,40;2600170,55
"350930 Cajobi";287988,83;342139,90;222665,67;174089,57;1026883,97
"350940 Cajuru";924773,40;1007457,98;1046074,08;1075496,77;4053802,23
"350950 Campinas";73537983,33;67435851,67;73629338,00;90621892,86;305225065,86
"350960 Campo Limpo Paulista";1282279,64;1416123,67;1352380,24;1433444,46;5484228,01
"350970 Campos do Jordão";1071957,92;1025474,70;983884,99;1052449,72;4133767,33
"351000 Cândido Mota";555050,25;566463,09;604095,69;563263,07;2288872,10
"351020 Capão Bonito";1386103,72;1238695,47;1081291,02;1120981,21;4827071,42
"351040 Capivari";1304076,76;1156046,98;1159360,67;1384994,02;5004478,43
"351050 Caraguatatuba";7779462,84;7850952,11;8165741,46;9887451,38;33683607,79
"351060 Carapicuíba";384582,71;625057,79;547457,37;977558,84;2534656,71
"351080 Casa Branca";399057,54;335645,96;426433,74;488422,14;1649559,38
"351100 Castilho";136114,15;151958,89;150360,65;225271,27;663704,96
"351110 Catanduva";2167116,65;2425901,98;3567041,34;3550539,64;11710599,61
"351140 Cerqueira César";606734,77;460284,96;397841,98;388522,83;1853384,54
"351150 Cerquilho";382341,91;515237,21;452245,63;426989,00;1776813,75
"351160 Cesário Lange";205181,30;167001,06;139016,48;196197,86;707396,70
"351170 Charqueada";134545,27;138925,63;158270,44;187548,85;619290,19
"351200 Colina";219992,22;198374,50;241204,97;295819,48;955391,17
"351210 Colômbia";23809,18;37813,24;6588,22;1602,84;69813,48
"351220 Conchal";759268,91;826338,16;754324,03;669228,78;3009159,88
"351230 Conchas";182496,36;131663,34;14562,85;-;328722,55
"351280 Cosmópolis";66909,93;-;236077,54;626511,43;929498,90
"351300 Cotia";-;-;-;88500,00;88500,00
"351310 Cravinhos";89448,43;136067,36;113549,97;54289,84;393355,60
"351340 Cruzeiro";3460313,74;3809637,06;4489286,83;5199838,90;16959076,53
"351350 Cubatão";149246,37;4672610,53;5609998,75;7636365,29;18068220,94
"351360 Cunha";759769,84;756189,89;759242,48;555730,08;2830932,29
"351370 Descalvado";567935,73;527374,01;552795,59;669057,44;2317162,77
"351380 Diadema";8019250,35;7531175,66;8234543,95;7589997,32;31374967,28
"351410 Dois Córregos";596578,86;578986,37;578587,78;563799,89;2317952,90
"351440 Dracena";3588361,67;3610264,39;3826918,80;3241491,00;14267035,86
"351450 Duartina";496892,26;396435,83;458465,28;503088,34;1854881,71
"351500 Embu das Artes";1313993,02;1420291,07;1367786,03;3232143,15;7334213,27
"351510 Embu-Guaçu";207288,52;434486,83;365770,78;515311,80;1522857,93
"351518 Espírito Santo do Pinhal";1432061,05;1346451,62;1300830,50;2337360,10;6416703,27
"351520 Estrela d'Oeste";160012,40;148035,19;208968,33;132632,87;649648,79
"351540 Fartura";384124,96;353088,61;322478,02;319994,00;1379685,59
"351570 Ferraz de Vasconcelos";-;-;-;211500,00;211500,00
"351620 Franca";3073269,24;3668874,71;3690971,33;2808186,48;13241301,76
"351630 Francisco Morato";1093104,47;1040074,11;906039,63;1066339,21;4105557,42
"351640 Franco da Rocha";-;-;-;376646,16;376646,16
"351660 Gália";34858,86;38244,16;36814,58;32177,62;142095,22
"351670 Garça";1313430,69;838657,60;809828,76;585785,13;3547702,18
"351690 General Salgado";188734,89;226590,27;212033,74;152589,02;779947,92
"351700 Getulina";23344,73;-;-;-;23344,73
"351740 Guaíra";853646,08;736054,95;901089,52;854447,37;3345237,92
"351760 Guapiara";312372,82;296798,27;361759,42;305165,16;1276095,67
"351770 Guará";142728,52;125133,70;190483,06;264060,17;722405,45
"351780 Guaraçaí";81708,70;126298,07;105019,62;73233,76;386260,15
"351820 Guararapes";721278,98;634854,57;725417,43;705953,57;2787504,55
"351830 Guararema";491401,65;537178,54;582478,07;716228,07;2327286,33
"351840 Guaratinguetá";9883067,22;9610609,18;10651590,04;9863520,59;40008787,03
"351860 Guariba";607638,10;626190,09;568559,08;626794,08;2429181,35
"351870 Guarujá";12780445,78;13051399,95;13485547,95;14883051,65;54200445,33
"351880 Guarulhos";34271557,85;34003914,62;33288932,16;36772272,80;138336677,43
"351907 Hortolândia";1821005,47;2650460,09;2546394,15;3122495,24;10140354,95
"351910 Iacanga";57034,59;72642,37;64214,45;53723,48;247614,89
