 Produção Ambulatorial do SUS - por gestor -  Brasil
Valor aprovado por Município gestor e Ano processamento
Financiamento: 05 Incentivo - MAC, 06 Média e Alta Complexidade (MAC)
Período:2017-2020
"Município gestor";"2017";"2018";"2019";"2020";"Total"
"210207 Bom Lugar";199719,33;187158,79;6803194,74;14760499,38;21950572,24
"210210 Brejo";36661,22;219994,96;211033,60;980841,65;1448531,43
"210215 Brejo de Areia";-;-;4586,74;2098,21;6684,95
"210220 Buriti";86551,79;378021,23;477357,47;267504,22;1209434,71
"210230 Buriti Bravo";197485,72;454742,30;417427,10;214996,43;1284651,55
"210232 Buriticupu";7767651,01;11489169,98;14712062,43;1689364,10;35658247,52
"210235 Buritirana";-;-;2583,00;3156,00;5739,00
"210237 Cachoeira Grande";70940,86;13025,60;14200,68;76447,26;174614,40
"210240 Cajapió";74165,65;253543,89;310832,49;316074,64;954616,67
"210250 Cajari";262879,89;339281,97;430943,76;248998,01;1282103,63
"210270 Cantanhede";545801,98;591473,11;667469,93;3939509,16;5744254,18
"210275 Capinzal do Norte";572316,11;583608,34;2068597,52;2637933,63;5862455,60
"210280 Carolina";403825,62;338965,45;193250,91;89247,61;1025289,59
"210290 Carutapera";25917,37;94773,76;111463,56;84448,97;316603,66
"210300 Caxias";15454213,32;31541445,77;35325466,09;24737924,16;107059049,34
"210310 Cedral";7680,80;73710,69;15677,55;6251,80;103320,84
"210312 Central do Maranhão";-;-;12286,33;42032,46;54318,79
"210315 Centro do Guilherme";70335,80;195521,65;90042,91;910352,92;1266253,28
"210317 Centro Novo do Maranhão";15260,98;81181,63;106217,85;254997,74;457658,20
"210320 Chapadinha";3188199,84;4647644,68;6047633,37;3981774,52;17865252,41
"210325 Cidelândia";24954,03;170077,68;65966,81;140996,88;401995,40
"210330 Codó";4362977,36;4576773,48;5527460,16;4236495,56;18703706,56
"210340 Coelho Neto";2591236,80;2211883,20;2025049,79;956772,00;7784941,79
"210350 Colinas";572762,76;1650300,22;1037593,75;1352081,44;4612738,17
"210355 Conceição do Lago-Açu";-;103319,20;89410,80;71955,50;264685,50
"210360 Coroatá";2352282,18;3064649,20;2474636,38;2215204,00;10106771,76
"210370 Cururupu";234866,26;147731,67;251489,04;261155,28;895242,25
"210375 Davinópolis";-;-;-;1568,70;1568,70
"210380 Dom Pedro";715775,76;698481,87;647705,78;553476,06;2615439,47
"210390 Duque Bacelar";39,34;3605,75;17703,69;3184087,44;3205436,22
"210400 Esperantinópolis";1124428,05;877662,04;946568,11;731397,31;3680055,51
"210405 Estreito";1805952,64;1972443,44;2214393,32;1787935,36;7780724,76
"210407 Feira Nova do Maranhão";-;-;117969,69;3174073,33;3292043,02
"210408 Fernando Falcão";74739,65;526958,46;507949,94;373957,63;1483605,68
"210409 Formosa da Serra Negra";10530,35;292280,54;253187,69;3958336,17;4514334,75
"210410 Fortaleza dos Nogueiras";-;186352,70;235316,21;187288,28;608957,19
"210420 Fortuna";59625,40;717742,26;604371,81;221610,14;1603349,61
"210440 Gonçalves Dias";145572,36;423175,16;507770,71;1528715,85;2605234,08
"210450 Governador Archer";75393,26;363559,45;367983,26;1093360,34;1900296,31
"210455 Governador Edison Lobão";66767,23;375130,13;499574,96;4115543,97;5057016,29
"210460 Governador Eugênio Barros";169426,81;238180,89;236430,23;180480,22;824518,15
"210462 Governador Luiz Rocha";-;12187,00;47580,75;51360,25;111128,00
