 Produção Ambulatorial do SUS - por gestor -  Brasil
Qtd.aprovada por Município gestor e Ano processamento
Período:2017-2020
"Município gestor";"2017";"2018";"2019";"2020";"Total"
"421170 Orleans";146510;157765;156751;144466;605492
"421175 Otacílio Costa";55488;4916;18931;68882;148217
"421180 Ouro";39184;35322;40974;36654;152134
"421185 Ouro Verde";50114;44697;42082;25209;162102
"421187 Paial";28860;28841;41255;23381;122337
"421189 Painel";7599;-;-;-;7599
"421190 Palhoça";1540759;1807900;2304427;1340288;6993374
"421200 Palma Sola";88723;60518;82920;71793;303954
"421205 Palmeira";13681;2306;2276;2322;20585
"421210 Palmitos";815732;67388;74009;45197;1002326
"421220 Papanduva";115638;30983;31275;19617;197513
"421223 Paraíso";51251;20785;18620;14945;105601
"421225 Passo de Torres";38436;66155;124660;90723;319974
"421227 Passos Maia";81901;142312;134033;65873;424119
"421230 Paulo Lopes";100209;44913;74286;49121;268529
"421240 Pedras Grandes";257923;16111;10702;5986;290722
"421250 Penha";324424;348453;459210;354098;1486185
"421260 Peritiba";34121;42138;48417;38590;163266
"421265 Pescaria Brava";65492;29379;28911;37196;160978
"421270 Petrolândia";73983;61885;55759;137403;329030
"421290 Pinhalzinho";420886;516630;571110;421381;1930007
"421300 Pinheiro Preto";80811;84614;69288;51950;286663
"421310 Piratuba";76191;89556;87860;58742;312349
"421315 Planalto Alegre";54796;8016;9034;5629;77475
"421320 Pomerode";406774;288461;236520;321438;1253193
"421330 Ponte Alta";23911;15220;11221;10176;60528
"421335 Ponte Alta do Norte";24016;10407;15524;11696;61643
"421340 Ponte Serrada";164022;173369;211130;153002;701523
"421350 Porto Belo";518345;184522;350287;361565;1414719
"421360 Porto União";807312;384762;303679;243016;1738769
"421370 Pouso Redondo";139553;145040;141186;154064;579843
"421380 Praia Grande";102410;134651;137977;101400;476438
"421390 Presidente Castello Branco";7294;127;218;279;7918
"421400 Presidente Getúlio";165308;187580;204534;178959;736381
"421410 Presidente Nereu";25949;-;-;-;25949
"421415 Princesa";46253;31489;28685;22793;129220
"421420 Quilombo";148226;203189;220870;196597;768882
"421430 Rancho Queimado";16765;498;575;507;18345
"421440 Rio das Antas";122307;103760;96235;88583;410885
"421450 Rio do Campo";25689;1941;33398;37305;98333
"421460 Rio do Oeste";57245;50056;77692;59416;244409
"421480 Rio do Sul";1484331;1661996;1503541;1132879;5782747
"421470 Rio dos Cedros";117543;93083;115632;99622;425880
"421490 Rio Fortuna";50018;20640;16570;14711;101939
"421500 Rio Negrinho";683619;510744;434063;353836;1982262
"421505 Rio Rufino";5779;-;-;-;5779
"421507 Riqueza";85857;30601;32358;28286;177102
"421510 Rodeio";174816;175315;206032;146519;702682
"421520 Romelândia";83361;32938;35960;23861;176120
"421530 Salete";82309;100135;111413;26245;320102
"421535 Saltinho";48613;27276;34926;27572;138387
"421540 Salto Veloso";48205;2893;3147;2435;56680
"421545 Sangão";177166;29571;31651;31005;269393
