 Procedimentos hospitalares do SUS - por local de residência - Brasil
Valor total por Município e Ano processamento
Período:2017-2020
"Município";"2017";"2018";"2019";"2020";"Total"
"316050 Santo Antônio do Rio Abaixo";109834,95;157169,89;168913,11;87507,53;523425,48
"316060 Santo Hipólito";232638,22;195113,95;134978,77;488757,16;1051488,10
"316070 Santos Dumont";4482766,01;4664156,80;4707077,88;4359008,82;18213009,51
"316080 São Bento Abade";287986,98;301629,95;334086,17;641737,04;1565440,14
"316090 São Brás do Suaçuí";316667,57;205271,81;305509,34;362126,14;1189574,86
"316095 São Domingos das Dores";429757,18;475038,46;456068,62;402923,81;1763788,07
"316100 São Domingos do Prata";1537907,56;1347617,15;1487202,67;1327055,97;5699783,35
"316105 São Félix de Minas";183113,31;317072,20;307993,38;257209,09;1065387,98
"316110 São Francisco";3535338,38;3700337,75;3583657,69;3811310,92;14630644,74
"316120 São Francisco de Paula";566527,47;654299,91;493108,45;651379,27;2365315,10
"316130 São Francisco de Sales";353591,55;402945,00;402160,04;207226,23;1365922,82
"316140 São Francisco do Glória";609542,74;512535,67;532385,59;526817,14;2181281,14
"316150 São Geraldo";901527,05;1031423,73;1047307,03;900728,67;3880986,48
"316160 São Geraldo da Piedade";343482,22;395367,33;319044,99;466122,01;1524016,55
"316165 São Geraldo do Baixio";210615,32;465071,30;375030,76;312007,17;1362724,55
"316170 São Gonçalo do Abaeté";278690,08;286338,40;389436,13;297572,89;1252037,50
"316180 São Gonçalo do Pará";639574,06;806570,06;709650,95;737346,31;2893141,38
"316190 São Gonçalo do Rio Abaixo";793977,80;795714,61;869038,29;830096,02;3288826,72
"312550 São Gonçalo do Rio Preto";292029,74;424737,58;244582,63;287482,26;1248832,21
"316200 São Gonçalo do Sapucaí";2154645,80;2415847,92;2216230,78;2405876,32;9192600,82
"316210 São Gotardo";2157218,07;2590444,09;2511618,61;1954142,04;9213422,81
"316220 São João Batista do Glória";1008819,23;1511343,60;1254639,02;1174015,90;4948817,75
"316225 São João da Lagoa";499676,32;341952,83;317413,81;252833,62;1411876,58
"316230 São João da Mata";232032,51;334348,13;382463,52;250306,98;1199151,14
"316240 São João da Ponte";2072015,31;2257442,58;2418323,81;2362374,06;9110155,76
"316245 São João das Missões";757976,49;671718,51;504989,47;654745,50;2589429,97
"316250 São João del Rei";7564634,37;7866543,46;9247534,11;9601186,93;34279898,87
"316255 São João do Manhuaçu";862537,98;838644,76;884855,83;1138585,28;3724623,85
"316257 São João do Manteninha";335670,66;330456,09;334184,98;404225,56;1404537,29
"316260 São João do Oriente";834500,51;691024,84;938595,44;1133378,74;3597499,53
"316265 São João do Pacuí";324924,80;426482,41;327828,90;224236,42;1303472,53
"316270 São João do Paraíso";1462824,57;1732581,68;1672768,41;1877838,15;6746012,81
"316280 São João Evangelista";1109584,78;1099182,35;1476671,57;1485127,83;5170566,53
"316290 São João Nepomuceno";2401764,04;2495465,81;2334926,89;2283903,51;9516060,25
"316292 São Joaquim de Bicas";2284043,57;2206845,00;2404375,56;3009670,05;9904934,18
"316294 São José da Barra";888435,55;945170,63;1200915,23;1098902,56;4133423,97
"316295 São José da Lapa";1720197,20;1748185,92;2063614,07;1777192,76;7309189,95
"316300 São José da Safira";222459,68;360721,88;444030,32;380136,52;1407348,40
"316310 São José da Varginha";518006,15;474935,75;642658,53;457627,24;2093227,67
"316320 São José do Alegre";595564,50;413684,17;392709,53;459918,72;1861876,92
"316330 São José do Divino";172486,73;224138,57;341682,37;401985,18;1140292,85
"316340 São José do Goiabal";345116,33;529079,79;406140,78;532836,17;1813173,07
"316350 São José do Jacuri";266067,42;221376,46;350112,23;284593,89;1122150,00
"316360 São José do Mantimento";204113,99;249893,67;231242,16;228682,91;913932,73
"316370 São Lourenço";4993811,23;5001619,71;5649411,38;4896863,30;20541705,62
"316380 São Miguel do Anta";510764,38;649548,95;644490,94;644511,37;2449315,64
"316390 São Pedro da União";537278,40;449632,88;649780,56;412414,71;2049106,55
"316410 São Pedro do Suaçuí";313755,92;317900,37;477235,09;381194,26;1490085,64
"316400 São Pedro dos Ferros";584867,71;631800,96;706615,54;747843,94;2671128,15
"316420 São Romão";554333,59;330773,27;433380,06;390627,04;1709113,96
"316430 São Roque de Minas";529091,41;677648,39;773007,36;478315,64;2458062,80
"316440 São Sebastião da Bela Vista";387938,04;557167,91;662102,09;571218,28;2178426,32
"316443 São Sebastião da Vargem Alegre";362551,16;470526,76;417176,37;336146,03;1586400,32
"316447 São Sebastião do Anta";368877,37;360685,76;536577,34;541884,07;1808024,54
"316450 São Sebastião do Maranhão";485596,09;666747,26;453769,90;633315,78;2239429,03
"316460 São Sebastião do Oeste";436513,31;391712,29;290634,89;512155,16;1631015,65
"316470 São Sebastião do Paraíso";8276102,02;9355944,47;8845591,69;9051642,20;35529280,38
"316480 São Sebastião do Rio Preto";150643,36;69764,79;149759,02;123318,49;493485,66
"316490 São Sebastião do Rio Verde";322973,70;118529,64;242719,16;164117,88;848340,38
"316520 São Thomé das Letras";412502,52;707718,56;608301,15;491681,17;2220203,40
"316500 São Tiago";788012,36;901093,45;1050326,71;1194577,77;3934010,29
"316510 São Tomás de Aquino";799511,00;854667,79;984149,18;865158,53;3503486,50
"316530 São Vicente de Minas";506003,78;467498,48;440169,53;539995,73;1953667,52
"316540 Sapucaí-Mirim";326114,31;327034,14;397008,06;452065,99;1502222,50
"316550 Sardoá";701965,10;505334,06;562252,79;426682,03;2196233,98
"316553 Sarzedo";2179048,91;2284093,00;2957530,55;2922408,54;10343081,00
"316556 Sem-Peixe";226694,26;300258,53;207678,11;289946,92;1024577,82
"316557 Senador Amaral";491589,74;539674,49;453913,83;543592,09;2028770,15
"316560 Senador Cortes";191780,88;163780,77;218754,70;232626,79;806943,14
"316570 Senador Firmino";729883,43;787624,88;792236,13;661873,88;2971618,32
"316580 Senador José Bento";280438,01;323333,60;408309,78;298648,51;1310729,90
"316590 Senador Modestino Gonçalves";388338,06;396357,35;460747,28;483584,11;1729026,80
"316600 Senhora de Oliveira";485824,92;370386,24;449411,12;409325,12;1714947,40
"316610 Senhora do Porto";251470,44;242265,18;243212,49;255957,53;992905,64
"316620 Senhora dos Remédios";630446,93;771051,03;980574,51;666413,93;3048486,40
"316630 Sericita";486333,09;702114,04;986311,53;648072,32;2822830,98
"316640 Seritinga";52358,52;141660,30;152548,56;181101,61;527668,99
"316650 Serra Azul de Minas";191355,28;210568,89;213959,95;344291,31;960175,43
"316660 Serra da Saudade";38070,25;23887,13;168612,81;46403,60;276973,79
"316680 Serra do Salitre";906617,93;870525,99;829356,02;1295466,97;3901966,91
"316670 Serra dos Aimorés";294539,36;276214,65;365614,21;534099,93;1470468,15
"316690 Serrania";842962,81;785858,24;924859,47;696898,10;3250578,62
"316695 Serranópolis de Minas";421922,78;302431,67;193601,21;219692,33;1137647,99
"316700 Serranos";115622,40;204267,68;131506,58;106893,72;558290,38
"316710 Serro";1404757,35;1701868,94;1822662,68;1878367,71;6807656,68
"316720 Sete Lagoas";16445172,87;16657563,11;17625656,56;16883590,95;67611983,49
"316555 Setubinha";568771,37;507657,15;335950,06;388720,36;1801098,94
"316730 Silveirânia";262507,95;275530,39;272735,76;262792,08;1073566,18
"316740 Silvianópolis";617455,49;727162,20;498690,52;753027,30;2596335,51
"316750 Simão Pereira";349749,50;363136,80;390829,88;288514,24;1392230,42
"316760 Simonésia";1038702,48;1248779,54;1403890,21;1496587,22;5187959,45
"316770 Sobrália";594141,11;523428,25;653830,38;467846,57;2239246,31
"316780 Soledade de Minas";619185,99;804426,69;595960,90;494503,18;2514076,76
"316790 Tabuleiro";499457,27;370661,79;319137,26;382958,27;1572214,59
"316800 Taiobeiras";2986611,43;3090777,76;3417931,46;3097857,85;12593178,50
"316805 Taparuba";425514,37;293973,90;321296,97;404977,48;1445762,72
"316810 Tapira";438093,46;295695,31;296089,09;203169,74;1233047,60
"316820 Tapiraí";127020,90;153958,94;131845,02;177109,22;589934,08
"316830 Taquaraçu de Minas";313867,40;313362,25;218873,85;433167,67;1279271,17
"316840 Tarumirim";1627416,28;1608970,48;1602632,85;1643342,68;6482362,29
"316850 Teixeiras";1315265,99;1064069,49;1302307,12;1229149,48;4910792,08
"316860 Teófilo Otoni";9791249,35;10774052,10;11668970,42;12533811,60;44768083,47
"316870 Timóteo";5865921,72;6343458,18;7471290,74;7409510,25;27090180,89
"316880 Tiradentes";586457,76;743391,97;867584,50;1050090,13;3247524,36
"316890 Tiros";528377,83;317614,55;381184,72;356148,14;1583325,24
"316900 Tocantins";1682372,72;1841888,57;1442047,23;1850358,19;6816666,71
"316905 Tocos do Moji";416813,66;394042,92;422846,76;341462,84;1575166,18
"316910 Toledo";277786,21;301338,15;570116,02;438692,05;1587932,43
"316920 Tombos";1144642,31;1233899,12;1246399,04;1144009,16;4768949,63
"316930 Três Corações";7153751,19;6811287,08;6903520,45;8653832,85;29522391,57
"316935 Três Marias";2060623,12;2798294,93;2925098,63;2680116,84;10464133,52
"316940 Três Pontas";5425162,07;6018943,88;6176602,43;6559230,45;24179938,83
"316950 Tumiritinga";503578,77;372622,40;561200,57;542093,77;1979495,51
"316960 Tupaciguara";2062994,64;2194571,38;2447510,55;2229441,89;8934518,46
"316970 Turmalina";1544034,94;1953246,21;1606229,32;1436601,90;6540112,37
"316980 Turvolândia";346135,55;521039,59;506622,06;545314,39;1919111,59
"316990 Ubá";9486197,84;8658083,38;8837947,38;10800337,35;37782565,95
"317000 Ubaí";786549,52;915217,17;842490,12;772670,56;3316927,37
"317005 Ubaporanga";863584,10;779814,92;803926,24;1261744,68;3709069,94
"317010 Uberaba";28845523,92;31798861,64;28332462,73;29360995,26;118337843,55
"317020 Uberlândia";66089683,80;68134462,69;72671165,08;75386271,61;282281583,18
"317030 Umburatiba";113696,80;170968,51;195297,20;189004,51;668967,02
"317040 Unaí";3711142,70;4310864,99;4661556,28;4699645,24;17383209,21
"317043 União de Minas";454999,56;305914,58;254886,70;464239,56;1480040,40
"317047 Uruana de Minas";138557,14;84204,83;70494,97;161645,16;454902,10
"317050 Urucânia";1051772,76;957875,52;1230301,08;933533,96;4173483,32
"317052 Urucuia";296345,61;312307,90;436371,77;348636,00;1393661,28
"317057 Vargem Alegre";435416,16;600860,30;530981,58;791293,17;2358551,21
"317060 Vargem Bonita";196613,87;367665,11;240327,10;214270,26;1018876,34
"317065 Vargem Grande do Rio Pardo";350634,16;332535,42;312243,75;302779,99;1298193,32
"317070 Varginha";11876162,91;12797361,03;13204416,26;12531295,80;50409236,00
"317075 Varjão de Minas";540392,23;441017,31;407025,10;309169,02;1697603,66
"317080 Várzea da Palma";2439121,87;2252547,94;2324928,15;2796166,09;9812764,05
"317090 Varzelândia";1571249,57;1448698,82;1378752,73;1347688,40;5746389,52
"317100 Vazante";1452367,40;1186095,85;1361905,75;1086327,47;5086696,47
"317103 Verdelândia";519922,79;857395,22;708692,24;737770,31;2823780,56
"317107 Veredinha";487422,57;329106,57;387939,04;345997,63;1550465,81
"317110 Veríssimo";345597,79;254918,48;306242,74;386797,36;1293556,37
"317115 Vermelho Novo";262955,01;505001,57;424931,19;387927,83;1580815,60
"317120 Vespasiano";10024972,77;10102095,46;12253757,20;10764385,22;43145210,65
"317130 Viçosa";6212725,95;6524234,37;5831503,80;5991231,72;24559695,84
"317140 Vieiras";497752,43;485705,94;525415,16;247533,90;1756407,43
"317160 Virgem da Lapa";467845,06;678671,81;840889,38;562421,18;2549827,43
"317170 Virgínia";807496,97;914341,59;711247,19;997313,18;3430398,93
"317180 Virginópolis";593995,48;618031,03;762216,88;688522,19;2662765,58
"317190 Virgolândia";288536,53;456546,75;565500,97;395176,74;1705760,99
"317200 Visconde do Rio Branco";4220573,80;4781233,58;4843678,72;4464606,23;18310092,33
"317210 Volta Grande";246291,63;227247,82;471060,49;405658,62;1350258,56
"317220 Wenceslau Braz";247210,85;255471,80;336421,04;319395,63;1158499,32
"320010 Afonso Cláudio";2311074,89;2436429,36;2435700,39;2714849,48;9898054,12
"320016 Água Doce do Norte";471767,90;585724,01;720935,95;848526,60;2626954,46
"320013 Águia Branca";424006,12;552587,93;550388,90;548520,29;2075503,24
"320020 Alegre";2847942,48;3035320,44;2617068,20;3369683,98;11870015,10
"320030 Alfredo Chaves";1176937,62;1186631,82;1365904,09;1180212,11;4909685,64
"320035 Alto Rio Novo";587308,86;531898,45;450174,74;770660,06;2340042,11
"320040 Anchieta";2279314,07;1955852,55;2315103,25;3123425,82;9673695,69
"320050 Apiacá";627258,70;497166,12;558928,39;704564,20;2387917,41
"320060 Aracruz";6734445,62;7223377,56;7458399,41;9328441,77;30744664,36
"320070 Atilio Vivacqua";1080276,80;1083996,05;1201284,87;1203568,57;4569126,29
"320080 Baixo Guandu";2993225,50;2721139,48;2986547,68;2551166,62;11252079,28
"320090 Barra de São Francisco";2605054,37;2122621,82;2258288,91;3103612,63;10089577,73
"320100 Boa Esperança";1250854,84;1082472,71;1316540,96;1168078,19;4817946,70
"320110 Bom Jesus do Norte";570527,25;611681,54;616607,80;742639,51;2541456,10
"320115 Brejetuba";976448,82;784193,17;901045,61;1130331,07;3792018,67
"320120 Cachoeiro de Itapemirim";22034672,58;22103531,88;22618208,31;22897934,75;89654347,52
"320130 Cariacica";31402658,20;29614978,25;30472121,52;37341479,81;128831237,78
"320140 Castelo";3094823,44;3002267,27;3002880,24;4240835,90;13340806,85
"320150 Colatina";9813650,29;9355346,16;9471579,39;11642508,06;40283083,90
"320160 Conceição da Barra";1788489,23;1730327,02;1836344,84;1986433,65;7341594,74
"320170 Conceição do Castelo";904774,80;1042075,99;1027496,72;984071,17;3958418,68
"320180 Divino de São Lourenço";244759,66;416645,72;396002,15;344787,33;1402194,86
"320190 Domingos Martins";2930541,87;2818813,67;3146422,40;3400481,15;12296259,09
"320200 Dores do Rio Preto";632644,60;676744,90;781938,78;755530,85;2846859,13
"320210 Ecoporanga";1661720,88;1349322,72;1733758,72;1818539,67;6563341,99
"320220 Fundão";1330322,76;1651564,90;1635431,72;1993252,97;6610572,35
"320225 Governador Lindenberg";832244,73;720074,87;876171,74;864699,08;3293190,42
"320230 Guaçuí";2942275,74;3331956,29;3582323,48;3730847,19;13587402,70
"320240 Guarapari";8876592,96;8242265,75;10045761,35;11972047,72;39136667,78
"320245 Ibatiba";2236100,57;2038424,07;2242830,49;2736413,42;9253768,55
"320250 Ibiraçu";839046,34;768271,01;726235,78;854710,12;3188263,25
"320255 Ibitirama";800709,10;812010,45;1083979,32;890153,29;3586852,16
"320260 Iconha";1161707,76;1131371,51;1146299,16;1167766,77;4607145,20
"320265 Irupi";702929,49;600895,20;692758,85;1180577,81;3177161,35
"320270 Itaguaçu";1275381,60;1139247,60;1287220,37;1249528,87;4951378,44
"320280 Itapemirim";3478435,62;4358916,05;4283931,35;4649612,03;16770895,05
"320290 Itarana";952533,21;1066618,11;1098297,11;1064164,06;4181612,49
"320300 Iúna";1805385,39;2467855,29;2464449,51;2492646,33;9230336,52
"320305 Jaguaré";2100599,35;1851960,72;2067074,74;1937811,23;7957446,04
"320310 Jerônimo Monteiro";1490302,32;1413169,32;1568048,58;1459190,63;5930710,85
"320313 João Neiva";1466531,35;1173546,82;1073817,87;1140312,87;4854208,91
"320316 Laranja da Terra";1003409,67;1022139,54;947391,02;1044926,77;4017867,00
"320320 Linhares";13038452,30;14028886,01;14506899,82;17810068,01;59384306,14
"320330 Mantenópolis";909905,48;777694,76;951519,34;908733,41;3547852,99
"320332 Marataízes";3235803,05;4016608,43;4086976,25;5367068,99;16706456,72
"320334 Marechal Floriano";1452924,71;1359794,68;1523048,78;1893390,11;6229158,28
"320335 Marilândia";1294353,33;1273371,22;1044812,83;1061561,18;4674098,56
"320340 Mimoso do Sul";2335754,43;2257672,70;2302650,32;2310194,61;9206272,06
"320350 Montanha";1412391,27;1470484,16;1608235,52;1711010,70;6202121,65
"320360 Mucurici";488691,87;586340,68;630683,58;578497,50;2284213,63
"320370 Muniz Freire";1290860,63;1450062,95;1503764,21;1434931,77;5679619,56
"320380 Muqui";1401886,71;1377654,00;1473571,34;1580598,44;5833710,49
"320390 Nova Venécia";3723297,80;3693554,52;3955792,18;3753999,21;15126643,71
"320400 Pancas";1283977,87;1208768,95;1341133,71;1669697,48;5503578,01
"320405 Pedro Canário";2332872,61;1841669,18;2068320,09;2056627,81;8299489,69
"320410 Pinheiros";1898697,43;1984036,93;2119686,27;2210963,84;8213384,47
"320420 Piúma";1431531,98;1524874,81;1601804,57;2669144,08;7227355,44
"320425 Ponto Belo";557706,94;576572,73;631251,35;552068,58;2317599,60
"320430 Presidente Kennedy";1490608,34;1434350,18;1474686,92;1666277,52;6065922,96
"320435 Rio Bananal";1097799,50;1012065,67;1363606,79;1512187,97;4985659,93
"320440 Rio Novo do Sul";836839,01;1164722,12;1191679,58;1235508,98;4428749,69
"320450 Santa Leopoldina";972910,95;1013011,66;1044430,86;908799,19;3939152,66
"320455 Santa Maria de Jetibá";3947209,42;3534333,52;3982116,08;3529761,78;14993420,80
"320460 Santa Teresa";2656468,63;2383018,07;3041817,14;2882323,96;10963627,80
"320465 São Domingos do Norte";728826,27;558705,67;677771,10;611848,97;2577152,01
"320470 São Gabriel da Palha";2294390,86;1900924,86;2133400,68;3048270,02;9376986,42
"320480 São José do Calçado";1402345,29;1313918,04;1347948,01;1426226,07;5490437,41
"320490 São Mateus";8454771,36;8333769,93;8896815,71;11587997,98;37273354,98
"320495 São Roque do Canaã";1006223,61;932338,70;883454,88;724331,01;3546348,20
"320500 Serra";39990945,94;37408086,23;39298962,21;49028754,96;165726749,34
"320501 Sooretama";1720855,92;2158028,13;2114671,42;2154592,31;8148147,78
"320503 Vargem Alta";1808753,71;1909078,07;1913861,59;1906600,84;7538294,21
"320506 Venda Nova do Imigrante";1761728,52;1613532,25;1963476,19;2004235,75;7342972,71
"320510 Viana";5979384,95;5686179,38;5739187,96;6730670,30;24135422,59
"320515 Vila Pavão";615194,27;674382,05;562950,84;486393,93;2338921,09
"320517 Vila Valério";955351,94;984860,80;1203502,34;1111925,01;4255640,09
"320520 Vila Velha";31099449,81;30698559,89;32521397,29;38812598,43;133132005,42
"320530 Vitória";27457391,57;26543144,85;27478135,64;33455491,04;114934163,10
"330010 Angra dos Reis";9535933,02;10610102,10;11218148,76;10028987,68;41393171,56
"330015 Aperibé";1216289,49;1291007,01;1292597,30;1366041,37;5165935,17
"330020 Araruama";4260612,24;4736030,58;5209140,72;4534721,43;18740504,97
"330022 Areal";1034406,13;1165224,98;1265583,77;1187865,05;4653079,93
"330023 Armação dos Búzios";1833547,92;1828910,79;2046506,57;2174517,80;7883483,08
"330025 Arraial do Cabo";1668845,67;1837675,85;1930891,45;1849182,17;7286595,14
"330030 Barra do Piraí";7270697,42;6853657,30;8215901,53;7412993,99;29753250,24
"330040 Barra Mansa";9695985,40;10694588,07;12470492,20;12521022,48;45382088,15
"330045 Belford Roxo";19366594,86;22355048,50;22690965,19;30467527,29;94880135,84
"330050 Bom Jardim";1295514,55;1348714,00;1467080,73;1610171,64;5721480,92
"330060 Bom Jesus do Itabapoana";5078415,44;4879218,40;5471317,57;6157324,10;21586275,51
"330070 Cabo Frio";9928182,82;11448612,28;10928726,84;11735461,40;44040983,34
"330080 Cachoeiras de Macacu";3035227,24;2531436,33;3345960,25;2673685,87;11586309,69
"330090 Cambuci";1545408,10;1883279,16;1773123,59;1526524,56;6728335,41
"330100 Campos dos Goytacazes";44793922,84;48025724,73;55023099,88;55307422,09;203150169,54
"330110 Cantagalo";1080240,83;1037538,02;1210400,58;1052052,12;4380231,55
"330093 Carapebus";591164,48;606125,75;834120,60;627108,56;2658519,39
"330115 Cardoso Moreira";1253029,69;1718000,17;1742408,69;2441966,99;7155405,54
"330120 Carmo";809930,06;855746,39;1171460,79;996867,99;3834005,23
"330130 Casimiro de Abreu";1315270,49;1700464,85;1503338,99;1937900,65;6456974,98
"330095 Comendador Levy Gasparian";607129,12;603990,77;612533,62;693230,18;2516883,69
"330140 Conceição de Macabu";1214454,92;1275957,08;979733,69;802765,84;4272911,53
"330150 Cordeiro";1275317,26;1195495,66;1469591,55;1152949,31;5093353,78
"330160 Duas Barras";590360,28;603024,81;597891,77;587769,16;2379046,02
"330170 Duque de Caxias";41400778,43;48022240,23;51584558,85;59771749,55;200779327,06
"330180 Engenheiro Paulo de Frontin";1081898,80;1338878,66;1620378,46;1223779,66;5264935,58
"330185 Guapimirim";2712974,79;3263299,86;3130623,69;3308171,15;12415069,49
"330187 Iguaba Grande";1028405,11;1106133,26;1053802,01;1273131,07;4461471,45
"330190 Itaboraí";7781235,94;10013330,66;11271462,07;12466425,90;41532454,57
"330200 Itaguaí";3508583,66;4239315,34;4572821,03;4959849,03;17280569,06
"330205 Italva";1944394,08;2014549,29;2134015,35;1702438,72;7795397,44
"330210 Itaocara";2474957,12;2749608,65;2806665,90;2551996,47;10583228,14
"330220 Itaperuna";20136072,14;22137898,97;21025698,70;20206399,50;83506069,31
"330225 Itatiaia";1410662,63;1391219,89;1525569,33;1710958,61;6038410,46
"330227 Japeri";3523842,28;3657035,32;3938614,56;3717661,96;14837154,12
"330230 Laje do Muriaé";918131,36;1321169,05;1020854,32;1261930,73;4522085,46
"330240 Macaé";11790489,23;13476234,64;13992115,15;13739193,46;52998032,48
"330245 Macuco";346800,47;356651,59;392637,94;509363,77;1605453,77
"330250 Magé";9961774,07;10629125,99;11757997,12;14377708,26;46726605,44
"330260 Mangaratiba";1668078,13;1680988,02;2361156,20;3065593,23;8775815,58
"330270 Maricá";6162206,17;7858707,86;9321321,92;11843040,93;35185276,88
"330280 Mendes";1304391,03;1820242,69;1993993,49;1532368,15;6650995,36
"330285 Mesquita";5633693,07;5851897,58;6349712,97;6952796,52;24788100,14
"330290 Miguel Pereira";2209340,67;2600560,28;2426417,60;2445567,41;9681885,96
"330300 Miracema";2532909,86;2871824,36;3088225,19;3594337,56;12087296,97
"330310 Natividade";1876078,79;2365739,35;2051980,33;2155999,06;8449797,53
"330320 Nilópolis";5394864,17;5839969,44;6330754,34;6166357,16;23731945,11
"330330 Niterói";26189134,27;27471430,79;27688218,63;33235745,79;114584529,48
"330340 Nova Friburgo";14780826,09;16021076,86;16572105,58;14998325,31;62372333,84
"330350 Nova Iguaçu";36173458,83;39125002,14;39922297,87;41953395,15;157174153,99
"330360 Paracambi";2067319,22;2588650,73;3142771,34;3624855,75;11423597,04
"330370 Paraíba do Sul";2985370,14;3397460,70;3588211,91;2985649,17;12956691,92
"330380 Paraty";1898875,12;2289854,22;2178468,50;2535312,87;8902510,71
"330385 Paty do Alferes";1842670,29;2109555,17;2193507,40;2308450,77;8454183,63
"330390 Petrópolis";42905331,61;43152786,87;44513093,55;46739509,76;177310721,79
"330395 Pinheiral";1258004,87;1264484,13;1536937,38;1614943,12;5674369,50
"330400 Piraí";1955605,49;2070733,60;2282207,16;2414134,29;8722680,54
"330410 Porciúncula";1922494,21;1550142,66;1825631,40;2017958,92;7316227,19
"330411 Porto Real";1213409,29;1186424,50;1321165,43;1537656,25;5258655,47
"330412 Quatis";902814,74;775434,20;875238,60;777466,54;3330954,08
"330414 Queimados";6881918,89;6742260,04;7857646,78;8112015,59;29593841,30
"330415 Quissamã";2222149,46;2706392,61;2443891,17;2418500,65;9790933,89
"330420 Resende";8612413,59;9861028,46;9658720,47;8543622,21;36675784,73
"330430 Rio Bonito";3244430,39;4466032,17;4643095,28;5487434,66;17840992,50
"330440 Rio Claro";707023,70;894118,66;1514736,88;1095097,28;4210976,52
"330450 Rio das Flores";663073,11;771966,91;1012966,24;997700,53;3445706,79
"330452 Rio das Ostras";4297613,60;4585496,36;5340515,79;5599745,01;19823370,76
"330455 Rio de Janeiro";288915227,43;294456686,94;310657361,24;324297805,37;1218327080,98
"330460 Santa Maria Madalena";570442,63;499357,40;617468,41;470960,18;2158228,62
"330470 Santo Antônio de Pádua";3554064,08;3785748,18;4393913,11;4102565,41;15836290,78
"330480 São Fidélis";3915230,64;4353873,52;4329817,98;3970923,76;16569845,90
"330475 São Francisco de Itabapoana";2224470,12;2594742,61;3717391,32;3431518,80;11968122,85
"330490 São Gonçalo";35917308,02;46698382,25;52269551,51;59962154,94;194847396,72
"330500 São João da Barra";2675752,30;2662441,10;2859423,55;3165761,77;11363378,72
"330510 São João de Meriti";19381827,32;20500162,23;22186673,59;23547607,09;85616270,23
"330513 São José de Ubá";533440,85;482983,67;471363,90;671729,58;2159518,00
"330515 São José do Vale do Rio Preto";1341517,70;1413912,83;1291154,18;1297662,47;5344247,18
"330520 São Pedro da Aldeia";3371008,05;3167903,56;3324372,99;3405072,73;13268357,33
"330530 São Sebastião do Alto";664795,24;690169,18;659707,35;491107,62;2505779,39
"330540 Sapucaia";895696,97;945653,18;1282099,84;890261,75;4013711,74
"330550 Saquarema";2827983,79;4107318,48;4358128,63;5156730,61;16450161,51
"330555 Seropédica";1970065,29;2900290,59;2710941,24;2640174,96;10221472,08
"330560 Silva Jardim";945042,93;1335010,25;1462262,32;1805686,96;5548002,46
"330570 Sumidouro";813547,14;698291,56;794323,06;649030,86;2955192,62
"330575 Tanguá";1492570,32;1984873,39;1976362,62;2173228,08;7627034,41
"330580 Teresópolis";16504745,86;16773925,13;17316935,76;21149714,26;71745321,01
"330590 Trajano de Moraes";684711,34;498641,06;673777,72;529643,47;2386773,59
"330600 Três Rios";5696281,18;6347063,57;7159025,43;7078655,03;26281025,21
"330610 Valença";7232483,02;7406935,96;9357306,92;9761645,06;33758370,96
"330615 Varre-Sai";847187,97;908600,01;932158,32;1172014,67;3859960,97
"330620 Vassouras";4725840,02;5175740,24;5072195,75;4689117,62;19662893,63
"330630 Volta Redonda";20588912,93;20460631,21;22150099,30;21036920,76;84236564,20
"350010 Adamantina";4067695,19;4207100,32;4726545,03;4369989,11;17371329,65
"350020 Adolfo";598522,16;827635,51;761426,66;860573,25;3048157,58
"350030 Aguaí";1953403,01;2603590,53;2522852,21;2162188,01;9242033,76
"350040 Águas da Prata";709406,53;616776,88;614691,35;514215,84;2455090,60
"350050 Águas de Lindóia";1628966,35;1760541,43;1877386,30;1782311,28;7049205,36
"350055 Águas de Santa Bárbara";464890,62;581838,15;484468,73;804227,84;2335425,34
"350060 Águas de São Pedro";388268,80;336605,20;351352,80;372003,61;1448230,41
"350070 Agudos";3764179,09;3773037,75;3601801,85;3654569,64;14793588,33
"350075 Alambari";303111,39;376713,85;432187,22;350782,74;1462795,20
"350080 Alfredo Marcondes";492887,79;501577,81;467248,79;426163,91;1887878,30
"350090 Altair";219907,86;291770,42;370880,18;323557,99;1206116,45
"350100 Altinópolis";1934685,93;2121542,39;2384650,76;1988075,37;8428954,45
"350110 Alto Alegre";278871,07;249683,32;231583,99;277996,75;1038135,13
"350115 Alumínio";784624,95;742942,16;693972,89;942382,59;3163922,59
"350120 Álvares Florence";522715,12;584113,43;528927,22;544886,32;2180642,09
"350130 Álvares Machado";2375673,56;2050086,47;2402332,22;2338665,80;9166758,05
"350140 Álvaro de Carvalho";517969,77;375445,87;320592,25;379484,02;1593491,91
"350150 Alvinlândia";393534,70;297558,72;350784,31;343812,51;1385690,24
"350160 Americana";9604092,31;10444542,04;10751182,03;12637551,02;43437367,40
"350170 Américo Brasiliense";2635877,35;2841786,83;2751495,11;2807886,30;11037045,59
"350180 Américo de Campos";745881,73;857565,29;805349,34;959716,76;3368513,12
"350190 Amparo";4468431,29;5665269,33;4568164,52;5901843,19;20603708,33
"350200 Analândia";186478,78;227501,29;299716,90;212705,03;926402,00
"350210 Andradina";4282533,71;4451977,15;4333324,21;4198512,71;17266347,78
"350220 Angatuba";1646668,42;1708295,27;1564448,76;1501129,74;6420542,19
"350230 Anhembi";748032,23;918516,37;850666,05;683733,96;3200948,61
