 Procedimentos hospitalares do SUS - por local de residência - Brasil
Valor total por Município e Ano processamento
Período:2017-2020
"Município";"2017";"2018";"2019";"2020";"Total"
"210312 Central do Maranhão";364307,20;368192,02;406262,40;395030,36;1533791,98
"210315 Centro do Guilherme";306037,49;382043,05;395828,71;379191,59;1463100,84
"210317 Centro Novo do Maranhão";541864,54;546314,15;618132,45;550421,25;2256732,39
"210320 Chapadinha";3295097,54;3639516,28;3929159,51;3892395,94;14756169,27
"210325 Cidelândia";771919,10;718554,40;794591,36;679219,07;2964283,93
"210330 Codó";5009500,36;5570008,13;5864981,24;5981806,19;22426295,92
"210340 Coelho Neto";1364547,64;1611442,54;1571757,82;1987940,85;6535688,85
"210350 Colinas";1669196,27;2367932,66;2564239,07;2345575,72;8946943,72
"210355 Conceição do Lago-Açu";516600,38;586300,61;783679,24;728377,33;2614957,56
"210360 Coroatá";3923080,65;3713978,75;4055010,03;3753538,11;15445607,54
"210370 Cururupu";1088271,32;1314279,51;1467997,98;1516225,99;5386774,80
"210375 Davinópolis";515418,08;589941,05;675292,64;693751,70;2474403,47
"210380 Dom Pedro";1278439,29;1082403,75;1013388,75;1421757,27;4795989,06
"210390 Duque Bacelar";574748,74;644133,79;283191,61;340162,35;1842236,49
"210400 Esperantinópolis";1056065,95;1033735,10;1308852,82;1372577,05;4771230,92
"210405 Estreito";1886820,11;1815793,35;1774508,83;1829071,83;7306194,12
"210407 Feira Nova do Maranhão";274543,37;432231,31;359067,28;471379,77;1537221,73
"210408 Fernando Falcão";341296,27;371693,58;309855,69;325794,05;1348639,59
"210409 Formosa da Serra Negra";507930,13;703762,24;687040,11;916732,95;2815465,43
"210410 Fortaleza dos Nogueiras";553497,92;705147,03;702639,04;562065,15;2523349,14
"210420 Fortuna";704756,81;806217,43;786122,93;1012585,97;3309683,14
"210430 Godofredo Viana";291197,77;405902,45;305086,27;235145,28;1237331,77
"210440 Gonçalves Dias";796695,57;763336,82;1005561,40;911130,36;3476724,15
"210450 Governador Archer";482058,78;494866,26;524007,32;500444,82;2001377,18
"210455 Governador Edison Lobão";944376,37;1014202,34;1140662,03;992567,58;4091808,32
"210460 Governador Eugênio Barros";972299,61;891749,66;828354,61;688579,03;3380982,91
"210462 Governador Luiz Rocha";325092,55;394941,87;371490,10;404326,49;1495851,01
"210465 Governador Newton Bello";286789,11;620516,33;643343,73;639989,91;2190639,08
"210467 Governador Nunes Freire";1241936,19;1387772,56;1239968,42;1340502,97;5210180,14
"210470 Graça Aranha";341375,05;329452,66;209938,95;371001,17;1251767,83
"210480 Grajaú";4271098,85;3937667,63;4465373,44;4150816,85;16824956,77
"210490 Guimarães";564989,29;590907,31;668204,65;568719,60;2392820,85
"210500 Humberto de Campos";896104,75;909826,71;1079163,88;1282115,10;4167210,44
"210510 Icatu";1056883,94;1032499,65;985635,07;1190732,52;4265751,18
"210515 Igarapé do Meio";565300,64;631564,30;739283,17;766418,14;2702566,25
"210520 Igarapé Grande";583988,55;595676,24;664852,46;986918,40;2831435,65
"210530 Imperatriz";17882167,53;19332836,68;19997268,66;19373369,07;76585641,94
"210535 Itaipava do Grajaú";734368,49;741739,16;759271,81;680495,49;2915874,95
"210540 Itapecuru Mirim";2692114,34;3068071,43;3276940,22;3270120,43;12307246,42
"210542 Itinga do Maranhão";1197756,15;1273779,44;1307359,35;1163236,80;4942131,74
"210545 Jatobá";238438,60;375881,98;430458,40;465643,11;1510422,09
"210547 Jenipapo dos Vieiras";630163,35;764526,61;655259,26;742920,90;2792870,12
"210550 João Lisboa";1576240,35;1481506,92;1563173,38;1334946,55;5955867,20
"210560 Joselândia";795329,88;712422,31;822725,57;639990,19;2970467,95
"210565 Junco do Maranhão";265377,38;273337,24;293502,23;298969,39;1131186,24
"210570 Lago da Pedra";2890286,49;2848860,12;3059900,02;3539093,89;12338140,52
"210580 Lago do Junco";524031,14;536658,45;548426,68;333525,55;1942641,82
"210594 Lago dos Rodrigues";330680,03;515587,88;532413,36;300199,50;1678880,77
"210590 Lago Verde";786836,84;749707,75;599665,30;636810,26;2773020,15
"210592 Lagoa do Mato";285367,25;328553,70;248152,90;316198,61;1178272,46
"210596 Lagoa Grande do Maranhão";467981,00;569756,55;649832,82;363788,59;2051358,96
"210598 Lajeado Novo";209262,21;268532,47;266389,39;220624,15;964808,22
"210600 Lima Campos";723643,18;693919,66;742615,90;916963,69;3077142,43
"210610 Loreto";531802,11;455731,69;523190,23;475839,67;1986563,70
"210620 Luís Domingues";196616,10;233098,87;200236,13;214387,62;844338,72
"210630 Magalhães de Almeida";396670,86;398733,28;342349,27;533448,12;1671201,53
"210632 Maracaçumé";847914,72;921919,67;926286,85;1072945,80;3769067,04
"210635 Marajá do Sena";85118,50;145980,10;135657,65;176986,27;543742,52
"210637 Maranhãozinho";486990,38;578630,88;594045,84;726309,72;2385976,82
"210640 Mata Roma";580191,83;605096,84;703563,37;665483,01;2554335,05
"210650 Matinha";796083,40;1054658,48;960321,14;912571,20;3723634,22
"210660 Matões";1483874,16;1629004,43;1836225,49;1527709,68;6476813,76
"210663 Matões do Norte";307814,24;297699,98;296715,93;391894,84;1294124,99
"210667 Milagres do Maranhão";295485,13;124978,19;140977,76;122952,45;684393,53
"210670 Mirador";1026612,06;1275612,22;1419295,10;1462581,25;5184100,63
"210675 Miranda do Norte";1074678,19;934393,60;1005493,92;1151950,75;4166516,46
"210680 Mirinzal";657225,25;786858,77;719712,50;644310,69;2808107,21
"210690 Monção";1418646,49;1372903,84;1317574,04;1421151,74;5530276,11
"210700 Montes Altos";717772,26;674941,09;515881,86;562135,47;2470730,68
"210710 Morros";789895,46;966685,13;1048674,09;952827,80;3758082,48
"210720 Nina Rodrigues";515460,20;676337,86;468943,78;525629,41;2186371,25
"210725 Nova Colinas";233608,49;227304,69;247166,79;253636,00;961715,97
"210730 Nova Iorque";117724,00;195087,36;113321,37;103671,38;529804,11
"210735 Nova Olinda do Maranhão";642493,18;1063379,22;1034647,03;953886,76;3694406,19
"210740 Olho d'Água das Cunhãs";1259555,38;1132170,50;1074411,71;1002227,16;4468364,75
"210745 Olinda Nova do Maranhão";737881,74;685546,90;694521,53;763210,32;2881160,49
"210750 Paço do Lumiar";7049245,03;7081103,62;7707723,45;8913031,81;30751103,91
"210760 Palmeirândia";969997,13;902004,30;866121,11;819173,39;3557295,93
"210770 Paraibano";977157,95;1093726,64;1194968,60;927102,33;4192955,52
"210780 Parnarama";1133880,35;1121486,71;1023230,09;1232617,41;4511214,56
"210790 Passagem Franca";2153774,35;2308101,63;2348030,54;2263107,22;9073013,74
"210800 Pastos Bons";856923,08;690113,65;727157,16;867031,27;3141225,16
"210805 Paulino Neves";590249,68;787561,68;733526,78;534569,55;2645907,69
"210810 Paulo Ramos";831341,12;1079309,93;1121966,74;1109791,34;4142409,13
"210820 Pedreiras";2435230,51;2675810,84;2495880,79;2935342,82;10542264,96
"210825 Pedro do Rosário";1084245,38;900562,98;861135,89;642467,14;3488411,39
"210830 Penalva";1220760,71;1264460,71;1201281,10;1175896,97;4862399,49
"210840 Peri Mirim";537913,38;589571,95;468396,48;397178,09;1993059,90
