ranking;grupo_n;score;co_mun;no_mun;uf;desemp_medio_ideb;qt_iniciativas;media_prioridade_operacional;idh_2010;media_prioridade_obra;dist_id_serie;label_media_ideb;label_iniciativas;label_prioridade_oper;label_idh;label_prioridade_obra;label_dist_id_serie
2946;4;0,128938633;4107702;Fênix;PR;0,011473496;0,025585763;0,010360541;0,036487022;0,040810986;0,151955109;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;alto_idh;alta_prioridade_obra;intermediario_dist_id_serie
2947;4;0,128941561;4119202;Pinhalão;PR;0,01198055;0,025585763;0,010360541;0,036197743;0,040810986;0,151955109;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;intermediario_dist_id_serie
2948;4;0,12912685;3525102;Jardinópolis;SP;0,009190754;0,040810986;0,010360541;0,036776302;0,040810986;0,153477632;alta_media_ideb;intermediario_iniciativas;alta_prioridade_oper;alto_idh;alta_prioridade_obra;intermediario_dist_id_serie
2949;4;0,129153474;3530003;Mira Estrela;SP;0,009543163;0,040810986;0,010360541;0,036898103;0,040810986;0,153477632;alta_media_ideb;intermediario_iniciativas;alta_prioridade_oper;alto_idh;alta_prioridade_obra;intermediario_dist_id_serie
2950;4;0,129202089;4114500;Manoel Ribas;PR;0,010219566;0,040810986;0,010360541;0,036487022;0,040810986;0,153477632;intermediario_media_ideb;intermediario_iniciativas;alta_prioridade_oper;alto_idh;alta_prioridade_obra;intermediario_dist_id_serie
2951;4;0,129206575;4215455;Sangão;SC;0,010291623;0,040810986;0,010360541;0,036243419;0,040810986;0,153477632;intermediario_media_ideb;intermediario_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;intermediario_dist_id_serie
2952;4;0,129229243;2112308;Tuntum;MA;0,011336516;0,025585763;0,010360541;0,03429459;0,040810986;0,357495613;baixa_media_ideb;baixo_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;alto_dist_id_serie
2953;4;0,130304791;1101500;Seringueiras;RO;0,010668217;0,056036208;0,010360541;0,034690446;0,040810986;0,151955109;intermediario_media_ideb;alto_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;intermediario_dist_id_serie
2954;4;0,130336909;5103007;Chapada dos Guimarães;MT;0,009547036;0,056036208;0,010360541;0,036060716;0,040810986;0,151955109;alta_media_ideb;alto_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;intermediario_dist_id_serie
2955;4;0,130388231;3138351;Leme do Prado;MG;0,010229544;0,056036208;0,010360541;0,035786662;0,040810986;0,151955109;intermediario_media_ideb;alto_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;intermediario_dist_id_serie
2956;4;0,130419237;2203453;Dom Inocêncio;PI;0,00654745;0,056036208;0,010360541;0,03394441;0,040810986;0,357495613;alta_media_ideb;alto_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;alto_dist_id_serie
